,county,deductions_of_all_returns_in_thousands,dependent_exemptions_of_all_returns_in_thousands,income_class,income_class_sort_order,number_of_all_returns,ny_agi_of_all_returns_in_thousands,place_of_residence,place_of_residence_sort_order,resident_type,state,tax_before_credits_of_all_returns_in_thousands,tax_liability_of_all_returns_in_thousands,tax_year,taxable_income_of_all_returns_in_thousands,difference_in_rates,dual_status,expected_rate_per_100,medicaid_county_population,medicaid_ppv_events,observed_rate_per_100,patient_county,risk_adjusted_rate_per_100,year
93,Queens,1504901.013,100732.718,"20,000 - 29,999",4,131636,3249580.071,New York City - Queens,4,Full-Year Resident,New York,71761.292,-4745.571,2014,1643946.34,-2.79,Dual,19.33,117416,19418,16.54,Queens,20.49,2014
94,Queens,1504901.013,100732.718,"20,000 - 29,999",4,131636,3249580.071,New York City - Queens,4,Full-Year Resident,New York,71761.292,-4745.571,2014,1643946.34,-3.5,Total,27.76,1049358,254565,24.26,Queens,26.88,2014
95,Queens,1504901.013,100732.718,"20,000 - 29,999",4,131636,3249580.071,New York City - Queens,4,Full-Year Resident,New York,71761.292,-4745.571,2014,1643946.34,-3.58,Non-Dual,28.81,931942,235147,25.23,Queens,27.89,2014
96,Queens,1179499.169,73060.716,"30,000 - 39,999",5,100990,3516248.524,New York City - Queens,4,Full-Year Resident,New York,107857.752,71911.403,2014,2263688.639,-2.79,Dual,19.33,117416,19418,16.54,Queens,20.49,2014
97,Queens,1179499.169,73060.716,"30,000 - 39,999",5,100990,3516248.524,New York City - Queens,4,Full-Year Resident,New York,107857.752,71911.403,2014,2263688.639,-3.5,Total,27.76,1049358,254565,24.26,Queens,26.88,2014
98,Queens,1179499.169,73060.716,"30,000 - 39,999",5,100990,3516248.524,New York City - Queens,4,Full-Year Resident,New York,107857.752,71911.403,2014,2263688.639,-3.58,Non-Dual,28.81,931942,235147,25.23,Queens,27.89,2014
99,Queens,966794.801,53823.257,"40,000 - 49,999",6,80109,3591059.255,New York City - Queens,4,Full-Year Resident,New York,131317.474,114457.172,2014,2570441.197,-2.79,Dual,19.33,117416,19418,16.54,Queens,20.49,2014
100,Queens,966794.801,53823.257,"40,000 - 49,999",6,80109,3591059.255,New York City - Queens,4,Full-Year Resident,New York,131317.474,114457.172,2014,2570441.197,-3.5,Total,27.76,1049358,254565,24.26,Queens,26.88,2014
101,Queens,966794.801,53823.257,"40,000 - 49,999",6,80109,3591059.255,New York City - Queens,4,Full-Year Resident,New York,131317.474,114457.172,2014,2570441.197,-3.58,Non-Dual,28.81,931942,235147,25.23,Queens,27.89,2014
102,Queens,818042.277,42575.641,"50,000 - 59,999",7,64988,3556775.976,New York City - Queens,4,Full-Year Resident,New York,144389.963,133356.221,2014,2696158.058,-2.79,Dual,19.33,117416,19418,16.54,Queens,20.49,2014
103,Queens,818042.277,42575.641,"50,000 - 59,999",7,64988,3556775.976,New York City - Queens,4,Full-Year Resident,New York,144389.963,133356.221,2014,2696158.058,-3.5,Total,27.76,1049358,254565,24.26,Queens,26.88,2014
104,Queens,818042.277,42575.641,"50,000 - 59,999",7,64988,3556775.976,New York City - Queens,4,Full-Year Resident,New York,144389.963,133356.221,2014,2696158.058,-3.58,Non-Dual,28.81,931942,235147,25.23,Queens,27.89,2014
105,Queens,916030.638,45800,"60,000 - 74,999",8,67904,4553625.631,New York City - Queens,4,Full-Year Resident,New York,199436.81,188248.752,2014,3591794.993,-2.79,Dual,19.33,117416,19418,16.54,Queens,20.49,2014
106,Queens,916030.638,45800,"60,000 - 74,999",8,67904,4553625.631,New York City - Queens,4,Full-Year Resident,New York,199436.81,188248.752,2014,3591794.993,-3.5,Total,27.76,1049358,254565,24.26,Queens,26.88,2014
107,Queens,916030.638,45800,"60,000 - 74,999",8,67904,4553625.631,New York City - Queens,4,Full-Year Resident,New York,199436.81,188248.752,2014,3591794.993,-3.58,Non-Dual,28.81,931942,235147,25.23,Queens,27.89,2014
108,Queens,1105497.705,54128.753,"75,000 - 99,999",9,73863,6379244.323,New York City - Queens,4,Full-Year Resident,New York,299986.494,286111.79,2014,5219617.865,-2.79,Dual,19.33,117416,19418,16.54,Queens,20.49,2014
109,Queens,1105497.705,54128.753,"75,000 - 99,999",9,73863,6379244.323,New York City - Queens,4,Full-Year Resident,New York,299986.494,286111.79,2014,5219617.865,-3.5,Total,27.76,1049358,254565,24.26,Queens,26.88,2014
110,Queens,1105497.705,54128.753,"75,000 - 99,999",9,73863,6379244.323,New York City - Queens,4,Full-Year Resident,New York,299986.494,286111.79,2014,5219617.865,-3.58,Non-Dual,28.81,931942,235147,25.23,Queens,27.89,2014
111,Queens,1557277.495,77298.704,"100,000 - 199,999",10,85222,11347878.412,New York City - Queens,4,Full-Year Resident,New York,607979.634,587101.337,2014,9713302.213,-2.79,Dual,19.33,117416,19418,16.54,Queens,20.49,2014
112,Queens,1557277.495,77298.704,"100,000 - 199,999",10,85222,11347878.412,New York City - Queens,4,Full-Year Resident,New York,607979.634,587101.337,2014,9713302.213,-3.5,Total,27.76,1049358,254565,24.26,Queens,26.88,2014
113,Queens,1557277.495,77298.704,"100,000 - 199,999",10,85222,11347878.412,New York City - Queens,4,Full-Year Resident,New York,607979.634,587101.337,2014,9713302.213,-3.58,Non-Dual,28.81,931942,235147,25.23,Queens,27.89,2014
